asset_path,asset_type,file_size_kb,format,optimizable
assets/images/herogigroup.b5e9f0.webp,image,184,webp,no
assets/images/sensei-sandy.6e2ade.webp,image,112,webp,no
assets/js/attribution.js,script,2,js,no
assets/js/analytics-events.js,script,1.5,js,no
assets/css/sensei-sandy-logo-global.0aec76.css,stylesheet,18,css,no
