current_url,source_file,output_file,page_type,canonical_url,current_status,indexable,in_sitemap,action,redirect_target,archive_path,notes
https://senseisandy.com/my-promise-full/,src/my-promise-full.html,dist/my-promise-full.html,general,https://senseisandy.com/my-promise-full/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/class-rules/,src/class-rules.html,dist/class-rules.html,general,https://senseisandy.com/class-rules/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/pricing-module-fragment/,src/pricing-module-fragment.html,dist/pricing-module-fragment.html,general,https://senseisandy.com/pricing-module-fragment/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/options-pricing/,src/options-pricing.html,dist/options-pricing.html,pricing,https://senseisandy.com/options-pricing/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/bjj-stretches/,src/bjj-stretches.html,dist/bjj-stretches.html,general,https://senseisandy.com/bjj-stretches/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/sensei-studio/,src/sensei-studio.html,dist/sensei-studio.html,general,https://senseisandy.com/sensei-studio/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/scribners/,src/scribners.html,dist/scribners.html,general,https://senseisandy.com/scribners/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/cta-row/,src/cta-row.html,dist/cta-row.html,general,https://senseisandy.com/cta-row/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/birthday-parties/,src/birthday-parties.html,dist/birthday-parties.html,general,https://senseisandy.com/birthday-parties/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/partners-hospitality-hunter-windham/,src/partners-hospitality-hunter-windham.html,dist/partners-hospitality-hunter-windham.html,general,https://senseisandy.com/partners-hospitality-hunter-windham/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/site-shell/,src/site-shell.html,dist/site-shell.html,general,https://senseisandy.com/site-shell/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/core-promise-full/,src/core-promise-full.html,dist/core-promise-full.html,general,https://senseisandy.com/core-promise-full/,200,true,true,keep,,,Release 4 URL inventory
https://senseisandy.com/reviews-village/,src/reviews-village.html,dist/reviews-village.html,general,https://senseisandy.com/reviews-village/,200,true,true,keep,,,Release 4 URL inventory
