url,intended_source,local_file_present,reachable_from_home,incoming_internal_links,sample_sources,status
https://senseisandy.com/bjj-glossary/chest-to-back,local+self_sitemap,yes,yes,3,/bjj-glossary|/bjj-glossary/seatbelt-escape|/bjj-glossary/top-ride,pass
https://senseisandy.com/bjj-glossary/chest-to-chest,local+self_sitemap,yes,yes,5,/bjj-glossary|/bjj-glossary/body-lock-pass|/bjj-glossary/crossface-pressure|/bjj-glossary/pressure|/bjj-glossary/shoulder-pressure,pass
https://senseisandy.com/bjj-glossary/clinch,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/closed-guard,local+self_sitemap,yes,yes,14,/bjj-glossary|/bjj-glossary/armbar|/bjj-glossary/closed-guard-break|/bjj-glossary/collar-grip|/bjj-glossary/cross-collar-choke|/bjj-glossary/flower-sweep,pass
https://senseisandy.com/bjj-glossary/closed-guard-break,local+self_sitemap,yes,yes,1,/bjj-glossary,pass
https://senseisandy.com/bjj-glossary/collar-grip,local+self_sitemap,yes,yes,7,/bjj-glossary|/bjj-glossary/cross-collar-choke|/bjj-glossary/grip|/bjj-glossary/lapel-grip|/bjj-glossary/posture-break|/bjj-glossary/sickle-sweep,pass
https://senseisandy.com/bjj-glossary/collar-tie,local+self_sitemap,yes,yes,9,/bjj-glossary|/bjj-glossary/ankle-pick|/bjj-glossary/clinch|/bjj-glossary/hand-fighting|/bjj-glossary/head-line|/bjj-glossary/inside-tie,pass
https://senseisandy.com/bjj-glossary/control,local+self_sitemap,yes,yes,29,/bjj-glossary|/bjj-glossary/ankle-lock|/bjj-glossary/beginner-lane|/bjj-glossary/body-lock|/bjj-glossary/bully-proof|/bjj-glossary/closed-guard-break,pass
https://senseisandy.com/bjj-glossary/cross-collar-choke,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/lapel-grip,pass
https://senseisandy.com/bjj-glossary/crossface,local+self_sitemap,yes,yes,6,/bjj-glossary|/bjj-glossary/chest-to-chest|/bjj-glossary/crossface-pressure|/bjj-glossary/head-line|/bjj-glossary/pressure|/bjj-glossary/shoulder-pressure,pass
https://senseisandy.com/bjj-glossary/crossface-defense,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/knee-shield,pass
https://senseisandy.com/bjj-glossary/crossface-pressure,local+self_sitemap,yes,yes,2,/bjj-glossary|/bjj-glossary/knee-slide,pass
https://senseisandy.com/bjj-glossary/de-la-riva,local+self_sitemap,yes,yes,4,/bjj-glossary|/bjj-glossary/k-guard|/bjj-glossary/reverse-de-la-riva|/bjj-glossary/waiter-sweep,pass
https://senseisandy.com/bjj-glossary/dominant-position,local+self_sitemap,yes,yes,9,/bjj-glossary|/bjj-glossary/control|/bjj-glossary/neutral-position|/bjj-glossary/pin|/bjj-glossary/seatbelt|/bjj-glossary/sprawl,pass
https://senseisandy.com/bjj-glossary/double-leg,local+self_sitemap,yes,yes,9,/bjj-glossary|/bjj-glossary/double-leg-defense|/bjj-glossary/level-change|/bjj-glossary/penetration-step|/bjj-glossary/re-shot|/bjj-glossary/shot-entry,pass
