"URL","HTTP Status","Robots Meta","Canonical","Page Title","X-Robots-Tag","Internal Links In","Word Count","Search Purpose","Action","Final Robots","Redirect Target","Sitemap","Last Modified","Reason"
"https://senseisandy.com/bjj-classes/gilboa-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/gilboa-ny","Brazilian Jiu-Jitsu in Gilboa, NY | Sensei Sandy BJJ","","1","1104","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/grand-gorge-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/grand-gorge-ny","Brazilian Jiu-Jitsu in Grand Gorge, NY | Sensei Sandy BJJ","","1","1113","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/greenville-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/greenville-ny","Brazilian Jiu-Jitsu in Greenville, NY | Sensei Sandy BJJ","","1","1111","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/haines-falls-ny","200","index, follow","https://senseisandy.com/bjj-classes/haines-falls-ny","Jiu-Jitsu Near Haines Falls, NY | Sensei Sandy BJJ","","361","784","location","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/hunter-ny","200","index, follow","https://senseisandy.com/bjj-classes/hunter-ny","Martial Arts &amp; BJJ Near Hunter, NY | Sensei Sandy BJJ","","370","798","location","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/kids-tannersville-ny","200","index, follow","https://senseisandy.com/bjj-classes/kids-tannersville-ny","Kids Jiu-Jitsu in Tannersville | Sensei Sandy BJJ","","494","757","program","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/lanesville-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/lanesville-ny","Brazilian Jiu-Jitsu in Lanesville, NY | Sensei Sandy BJJ","","1","1091","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/leeds-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/leeds-ny","Brazilian Jiu-Jitsu in Leeds, NY | Sensei Sandy BJJ","","1","1115","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/lexington-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/lexington-ny","Brazilian Jiu-Jitsu in Lexington, NY | Sensei Sandy BJJ","","1","1094","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/maplecrest-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/maplecrest-ny","Brazilian Jiu-Jitsu in Maplecrest, NY | Sensei Sandy BJJ","","1","1089","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/olive-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/olive-ny","Brazilian Jiu-Jitsu in Olive, NY | Sensei Sandy BJJ","","1","1121","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/palenville-ny","200","index, follow","https://senseisandy.com/bjj-classes/palenville-ny","Brazilian Jiu-Jitsu Near Palenville, NY | Sensei Sandy BJJ","","7","686","location","INDEX","index, follow","","yes","2026-07-29",""
"https://senseisandy.com/bjj-classes/prattsville-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/prattsville-ny","Brazilian Jiu-Jitsu in Prattsville, NY | Sensei Sandy BJJ","","1","1073","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/purling-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/purling-ny","Brazilian Jiu-Jitsu in Purling, NY | Sensei Sandy BJJ","","1","1093","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/round-top-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/round-top-ny","Brazilian Jiu-Jitsu in Round Top, NY | Sensei Sandy BJJ","","1","1109","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/roxbury-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/roxbury-ny","Brazilian Jiu-Jitsu in Roxbury, NY | Sensei Sandy BJJ","","1","1119","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/saugerties-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/saugerties-ny","Brazilian Jiu-Jitsu in Saugerties, NY | Sensei Sandy BJJ","","1","1075","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/schoharie-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/schoharie-ny","Brazilian Jiu-Jitsu in Schoharie, NY | Sensei Sandy BJJ","","1","1115","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/shandaken-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/shandaken-ny","Brazilian Jiu-Jitsu in Shandaken, NY | Sensei Sandy BJJ","","1","1118","location","REMOVE","","","no","2026-07-29",""
"https://senseisandy.com/bjj-classes/shokan-ny","410","noindex, follow","https://senseisandy.com/bjj-classes/shokan-ny","Brazilian Jiu-Jitsu in Shokan, NY | Sensei Sandy BJJ","","1","1116","location","REMOVE","","","no","2026-07-29",""
